word,c1,c2,source_subtlex,source_yuwei,source_xianhan,subtlex_wcount,qwen_c1_probability_distribution,qwen_c1_score,qwen_c2_probability_distribution,qwen_c2_score,lexical_structure
一侧,一,侧,1,1,0,23,"{""1"":0.0337,""3"":0.1177,""5"":0.32,""6"":0.1177,""7"":0.4109}",5.5691,"{""1"":0.0,""4"":0.0,""5"":0.0001,""6"":0.0012,""7"":0.9987}",6.9986,偏正
一偏,一,偏,0,0,1,,"{""1"":0.0345,""2"":0.8904,""3"":0.0731,""4"":0.0006,""7"":0.0013}",2.0465,"{""2"":0.1324,""3"":0.4622,""5"":0.2803,""6"":0.0625,""7"":0.0625}",3.8661,偏正
一元,一,元,1,0,0,6,"{""1"":0.0733,""2"":0.2558,""3"":0.4217,""5"":0.1551,""7"":0.0941}",3.2843,"{""1"":0.0006,""2"":0.0003,""5"":0.0076,""6"":0.1182,""7"":0.8733}",6.8615,偏正
一共,一,共,1,1,1,507,"{""1"":0.0741,""2"":0.0741,""3"":0.0272,""6"":0.1221,""7"":0.7026}",5.9544,"{""1"":0.0003,""2"":0.0002,""5"":0.0007,""6"":0.014,""7"":0.9848}",6.9822,偏正
一再,一,再,1,1,1,68,"{""1"":0.0143,""2"":0.6068,""3"":0.3681,""5"":0.0041,""7"":0.0067}",2.3998,"{""1"":0.0003,""2"":0.0003,""5"":0.0052,""6"":0.2214,""7"":0.7728}",6.7653,重叠
一准,一,准,1,1,1,2,"{""1"":0.0422,""2"":0.0045,""5"":0.0155,""6"":0.0894,""7"":0.8484}",6.6038,"{""1"":0.0009,""2"":0.0001,""5"":0.0007,""6"":0.014,""7"":0.9842}",6.9786,偏正
一分,一,分,1,0,0,952,"{""1"":0.1189,""4"":0.0013,""5"":0.0008,""6"":0.0008,""7"":0.8782}",6.2805,"{""1"":0.0003,""2"":0.0001,""5"":0.0006,""6"":0.0025,""7"":0.9966}",6.9941,偏正
一切,一,切,1,1,1,21709,"{""1"":0.0065,""2"":0.0011,""5"":0.004,""6"":0.0178,""7"":0.9706}",6.9294,"{""1"":0.0719,""2"":0.1185,""5"":0.056,""6"":0.0719,""7"":0.6818}",5.7926,偏正
一则,一,则,1,0,0,8,"{""1"":0.0626,""2"":0.2184,""3"":0.5938,""5"":0.0626,""7"":0.0626}",3.0319,"{""2"":0.3125,""3"":0.5152,""5"":0.0697,""6"":0.0329,""7"":0.0697}",3.2047,偏正
一刬,一,刬,0,0,1,,"{""1"":0.9873,""2"":0.011,""3"":0.0012,""4"":0.0002,""7"":0.0003}",1.0159,"{""1"":0.0946,""2"":0.8973,""3"":0.0078,""4"":0.0001,""7"":0.0002}",1.9145,偏正
一刻,一,刻,1,0,1,1563,"{""1"":0.0791,""3"":0.1675,""5"":0.4554,""6"":0.1305,""7"":0.1675}",4.8139,"{""1"":0.0011,""3"":0.0011,""5"":0.0136,""6"":0.0288,""7"":0.9553}",6.9327,偏正
一力,一,力,0,0,1,,"{""1"":0.0033,""2"":0.8101,""3"":0.1807,""5"":0.0026,""7"":0.0033}",2.2017,"{""2"":0.0497,""3"":0.082,""5"":0.2229,""6"":0.1736,""7"":0.4718}",5.8041,偏正
一动,一,动,1,0,1,12,"{""1"":0.0445,""2"":0.5424,""3"":0.329,""5"":0.0572,""7"":0.027}",2.5909,"{""1"":0.0,""2"":0.0,""5"":0.0003,""6"":0.0086,""7"":0.9911}",6.9905,偏正
一千,一,千,1,0,0,580,"{""1"":0.0052,""2"":0.0003,""5"":0.0005,""6"":0.004,""7"":0.9899}",6.962,"{""1"":0.0007,""4"":0.0001,""5"":0.0001,""6"":0.0006,""7"":0.9985}",6.9947,偏正
一半,一,半,1,1,1,2633,"{""1"":0.0014,""4"":0.0002,""5"":0.0049,""6"":0.0597,""7"":0.9338}",6.9214,"{""1"":0.0,""4"":0.0,""5"":0.0,""6"":0.0002,""7"":0.9997}",6.9995,偏正
一发,一,发,1,0,1,59,"{""1"":0.0124,""2"":0.8678,""3"":0.1175,""5"":0.001,""7"":0.0013}",2.1146,"{""1"":0.1723,""2"":0.6015,""3"":0.2213,""4"":0.0013,""7"":0.0036}",2.0695,偏正
一口,一,口,0,1,1,,"{""1"":0.1109,""3"":0.0672,""5"":0.1828,""6"":0.1423,""7"":0.4968}",5.5581,"{""1"":0.0005,""2"":0.0003,""5"":0.004,""6"":0.0109,""7"":0.9842}",6.9765,偏正
一吉,一,吉,1,0,0,1,"{""1"":0.9379,""2"":0.06,""3"":0.0014,""4"":0.0002,""7"":0.0005}",1.0665,"{""1"":0.004,""2"":0.0003,""5"":0.0052,""6"":0.0066,""7"":0.9839}",6.9573,偏正
一同,一,同,1,1,1,276,"{""1"":0.0012,""4"":0.0002,""5"":0.0019,""6"":0.011,""7"":0.9858}",6.9777,"{""1"":0.0,""4"":0.0,""5"":0.0001,""6"":0.0009,""7"":0.9989}",6.9987,偏正
一名,一,名,1,0,0,1,"{""1"":0.1238,""2"":0.2042,""3"":0.555,""5"":0.0585,""7"":0.0585}",2.8991,"{""1"":0.0242,""2"":0.0399,""3"":0.0844,""5"":0.0512,""7"":0.8004}",6.2159,偏正
一向,一,向,1,1,1,510,"{""1"":0.1475,""2"":0.1475,""3"":0.1148,""6"":0.1894,""7"":0.4009}",4.7291,"{""2"":0.0399,""3"":0.0658,""5"":0.486,""6"":0.2296,""7"":0.1788}",5.3359,偏正
一味,一,味,1,1,1,10,"{""1"":0.0686,""2"":0.836,""3"":0.0881,""4"":0.0016,""7"":0.0056}",2.0509,"{""2"":0.0667,""3"":0.4929,""5"":0.2989,""6"":0.0315,""7"":0.11}",4.0656,偏正
一品,一,品,1,0,0,5,"{""1"":0.007,""2"":0.4903,""3"":0.4903,""4"":0.007,""5"":0.0054}",2.5136,"{""2"":0.0042,""3"":0.0033,""5"":0.2295,""6"":0.6238,""7"":0.1392}",5.8831,偏正
一四,一,四,1,0,0,2,"{""1"":0.9871,""2"":0.0019,""3"":0.0024,""4"":0.0067,""7"":0.0019}",1.0382,"{""1"":0.9929,""2"":0.0032,""3"":0.0004,""4"":0.0032,""7"":0.0003}",1.0155,联合
一块,一,块,1,0,0,233,"{""1"":0.0875,""2"":0.0251,""3"":0.0251,""6"":0.0322,""7"":0.8302}",6.2172,"{""1"":0.0052,""2"":0.0005,""5"":0.0024,""6"":0.0085,""7"":0.9834}",6.9529,偏正
一声,一,声,1,0,0,1,"{""1"":0.8357,""2"":0.0197,""3"":0.1131,""4"":0.0119,""7"":0.0197}",1.3995,"{""1"":0.0,""4"":0.0,""5"":0.0001,""6"":0.0009,""7"":0.9989}",6.9986,偏正
一大,一,大,1,0,0,11,"{""1"":0.3537,""2"":0.3537,""3"":0.2755,""5"":0.0065,""7"":0.0107}",1.9946,"{""1"":0.5115,""2"":0.1465,""3"":0.1465,""4"":0.0073,""7"":0.1882}",2.5905,偏正
一天,一,天,1,0,1,7,"{""1"":0.02,""3"":0.0156,""5"":0.0424,""6"":0.0699,""7"":0.852}",6.6626,"{""1"":0.0003,""2"":0.0001,""5"":0.0007,""6"":0.0032,""7"":0.9958}",6.9934,偏正
一头,一,头,1,1,1,75,"{""1"":0.0543,""2"":0.5151,""3"":0.4012,""5"":0.0094,""7"":0.02}",2.4751,"{""1"":0.0317,""2"":0.0671,""3"":0.0522,""5"":0.0317,""7"":0.8173}",6.2021,偏正
一套,一,套,0,1,0,,"{""1"":0.0367,""2"":0.3478,""3"":0.5735,""4"":0.0135,""5"":0.0286}",2.6494,"{""2"":0.0361,""3"":0.126,""5"":0.7253,""6"":0.0764,""7"":0.0361}",4.7883,偏正
一如,一,如,0,1,1,,"{""1"":0.3204,""2"":0.1179,""3"":0.2495,""5"":0.1179,""7"":0.1943}",3.2544,"{""1"":0.0162,""2"":0.5355,""3"":0.417,""4"":0.0046,""7"":0.0267}",2.5434,偏正
一定,一,定,1,1,1,20273,"{""1"":0.0069,""2"":0.0042,""5"":0.024,""6"":0.4825,""7"":0.4825}",6.4073,"{""1"":0.0003,""2"":0.0001,""5"":0.0015,""6"":0.0229,""7"":0.9752}",6.972,偏正
一审,一,审,1,0,1,5,"{""2"":0.0769,""3"":0.5685,""5"":0.2091,""6"":0.0988,""7"":0.0467}",3.8243,"{""1"":0.0002,""2"":0.0002,""5"":0.0026,""6"":0.4985,""7"":0.4985}",6.4944,偏正
一家,一,家,1,0,0,607,"{""1"":0.0106,""2"":0.0064,""5"":0.078,""6"":0.1651,""7"":0.7399}",6.5836,"{""1"":0.0001,""4"":0.0,""5"":0.0003,""6"":0.0032,""7"":0.9964}",6.9955,偏正
一宿,一,宿,0,1,0,,"{""1"":0.1084,""2"":0.4857,""3"":0.3782,""4"":0.0089,""7"":0.0188}",2.3818,"{""1"":0.0001,""4"":0.0,""5"":0.0001,""6"":0.0007,""7"":0.9991}",6.9987,偏正
一对,一,对,1,0,0,227,"{""1"":0.0003,""4"":0.0001,""5"":0.0007,""6"":0.0032,""7"":0.9957}",6.9931,"{""1"":0.0031,""2"":0.0024,""5"":0.0065,""6"":0.0178,""7"":0.9702}",6.9386,偏正
一己,一,己,0,1,1,,"{""2"":0.0263,""3"":0.0263,""5"":0.1513,""6"":0.6782,""7"":0.1179}",5.7824,"{""1"":0.0,""4"":0.0,""5"":0.0003,""6"":0.0141,""7"":0.9856}",6.9852,偏正
一带,一,带,1,1,1,172,"{""1"":0.0753,""2"":0.7141,""3"":0.2046,""4"":0.0037,""7"":0.0023}",2.1482,"{""2"":0.5448,""3"":0.4243,""4"":0.0037,""5"":0.0211,""7"":0.0061}",2.5253,偏正
一干,一,干,0,1,1,,"{""1"":0.1448,""2"":0.8334,""3"":0.0196,""4"":0.0006,""7"":0.0016}",1.884,"{""1"":0.2116,""2"":0.7385,""3"":0.0472,""4"":0.0009,""7"":0.0018}",1.8465,偏正
一平,一,平,1,0,0,2,"{""1"":0.5067,""2"":0.3946,""3"":0.0881,""4"":0.0034,""7"":0.0072}",1.6243,"{""1"":0.0009,""2"":0.0007,""5"":0.0066,""6"":0.0109,""7"":0.9809}",6.967,偏正
一年,一,年,1,0,0,1,"{""1"":0.0018,""2"":0.0005,""5"":0.0064,""6"":0.037,""7"":0.9542}",6.9365,"{""1"":0.0002,""4"":0.0,""5"":0.0,""6"":0.0002,""7"":0.9995}",6.9986,偏正
一并,一,并,1,1,1,27,"{""1"":0.0122,""2"":0.6667,""3"":0.3149,""5"":0.0035,""6"":0.0027}",2.3241,"{""1"":0.0005,""2"":0.0005,""5"":0.0123,""6"":0.6702,""7"":0.3166}",6.3,偏正
一应,一,应,0,1,1,,"{""1"":0.1117,""2"":0.3898,""3"":0.3898,""5"":0.0411,""7"":0.0677}",2.74,"{""1"":0.0292,""2"":0.5871,""3"":0.3561,""5"":0.0138,""7"":0.0138}",2.4373,偏正
一度,一,度,1,1,1,80,"{""1"":0.0601,""2"":0.3458,""3"":0.5702,""5"":0.0104,""7"":0.0134}",2.6085,"{""2"":0.0224,""3"":0.1002,""5"":0.7404,""6"":0.1002,""7"":0.0369}",4.9065,偏正
一弘,一,弘,1,0,0,1,"{""1"":0.9901,""2"":0.0032,""3"":0.0052,""4"":0.0004,""7"":0.0012}",1.0218,"{""1"":0.6465,""2"":0.2378,""3"":0.1123,""4"":0.0012,""7"":0.0021}",1.4786,偏正
一彪,一,彪,1,0,0,1,"{""1"":0.3173,""2"":0.6718,""3"":0.0096,""4"":0.0005,""7"":0.0008}",1.6971,"{""1"":0.0579,""2"":0.9058,""3"":0.0351,""4"":0.0003,""7"":0.0008}",1.982,偏正
一径,一,径,0,1,1,,"{""1"":0.0228,""2"":0.7563,""3"":0.2167,""4"":0.0011,""7"":0.0031}",2.2116,"{""2"":0.6312,""3"":0.1408,""5"":0.0665,""6"":0.0518,""7"":0.1097}",3.096,偏正
一律,一,律,1,1,1,31,"{""1"":0.2275,""2"":0.0837,""3"":0.0395,""5"":0.0308,""7"":0.6185}",4.9967,"{""1"":0.0012,""2"":0.0016,""5"":0.025,""6"":0.1439,""7"":0.8282}",6.7906,偏正
一心,一,心,1,1,1,137,"{""1"":0.0004,""2"":0.0001,""5"":0.0023,""6"":0.0599,""7"":0.9373}",6.9327,"{""1"":0.0002,""2"":0.0001,""5"":0.0007,""6"":0.0067,""7"":0.9923}",6.9903,偏正
一怔,一,怔,0,1,0,,"{""1"":0.7177,""2"":0.264,""3"":0.0169,""4"":0.0006,""7"":0.0008}",1.3046,"{""2"":0.0389,""3"":0.0389,""5"":0.4742,""6"":0.224,""7"":0.224}",5.4773,偏正
一总,一,总,0,1,1,,"{""1"":0.0329,""2"":0.848,""3"":0.1148,""4"":0.0016,""7"":0.0027}",2.0987,"{""2"":0.4765,""3"":0.3711,""5"":0.0391,""6"":0.0305,""7"":0.0828}",3.0243,偏正
一手,一,手,1,1,1,107,"{""2"":0.6757,""3"":0.2486,""5"":0.0336,""6"":0.0159,""7"":0.0262}",2.5441,"{""2"":0.0214,""3"":0.013,""5"":0.2026,""6"":0.3341,""7"":0.429}",6.102,偏正
一拖,一,拖,1,0,0,3,"{""1"":0.4314,""2"":0.5539,""3"":0.013,""4"":0.0006,""7"":0.0011}",1.5883,"{""1"":0.0695,""2"":0.6596,""3"":0.1472,""6"":0.0695,""7"":0.0541}",2.6265,偏正
一操,一,操,1,0,0,1,"{""1"":0.9389,""2"":0.06,""3"":0.0009,""4"":0.0001,""7"":0.0002}",1.063,"{""1"":0.6559,""2"":0.3098,""3"":0.0327,""4"":0.0006,""7"":0.001}",1.3829,偏正
一改,一,改,0,1,0,,"{""1"":0.006,""2"":0.8951,""3"":0.0943,""5"":0.0017,""7"":0.0028}",2.1077,"{""1"":0.0005,""2"":0.0002,""5"":0.0015,""6"":0.0229,""7"":0.9749}",6.9701,偏正
一文,一,文,1,0,0,2,"{""1"":0.2548,""2"":0.5393,""3"":0.1984,""4"":0.0028,""7"":0.0047}",1.9726,"{""1"":0.3233,""2"":0.4152,""3"":0.1527,""5"":0.0161,""7"":0.0926}",2.3409,偏正
一斑,一,斑,1,1,1,3,"{""1"":0.0079,""2"":0.0745,""3"":0.9078,""4"":0.0061,""5"":0.0037}",2.9233,"{""2"":0.0185,""3"":0.0305,""5"":0.2896,""6"":0.2896,""7"":0.3718}",5.9166,偏正
一新,一,新,0,1,1,,"{""1"":0.0502,""2"":0.2251,""3"":0.3711,""5"":0.289,""6"":0.0645}",3.446,"{""1"":0.0001,""2"":0.0,""5"":0.0004,""6"":0.023,""7"":0.9765}",6.9755,偏正
一方,一,方,1,1,0,3,"{""2"":0.0828,""3"":0.3711,""5"":0.4765,""6"":0.0305,""7"":0.0391}",4.1181,"{""2"":0.0014,""3"":0.0061,""5"":0.902,""6"":0.074,""7"":0.0165}",5.0909,偏正
一旁,一,旁,1,1,1,129,"{""1"":0.2156,""2"":0.2768,""3"":0.4564,""5"":0.0138,""7"":0.0375}",2.4695,"{""1"":0.0,""4"":0.0,""5"":0.0001,""6"":0.0019,""7"":0.998}",6.9978,偏正
一无,一,无,1,0,0,3,"{""1"":0.9835,""2"":0.004,""3"":0.0052,""5"":0.0007,""7"":0.0066}",1.0569,"{""1"":0.9501,""2"":0.0014,""3"":0.0005,""6"":0.0007,""7"":0.0473}",1.2897,偏正
一日,一,日,1,1,0,154,"{""1"":0.0055,""2"":0.0033,""5"":0.0403,""6"":0.1408,""7"":0.8101}",6.7293,"{""1"":0.0002,""4"":0.0001,""5"":0.0001,""6"":0.0003,""7"":0.9994}",6.9985,偏正
一旦,一,旦,1,0,1,2922,"{""1"":0.0442,""2"":0.6913,""3"":0.2543,""5"":0.0025,""7"":0.0077}",2.256,"{""1"":0.0282,""2"":0.7269,""3"":0.1622,""5"":0.0465,""7"":0.0362}",2.4544,偏正
一早,一,早,1,1,1,326,"{""1"":0.0391,""3"":0.0828,""5"":0.3709,""6"":0.3709,""7"":0.1364}",5.3219,"{""1"":0.0002,""2"":0.0,""5"":0.0004,""6"":0.0086,""7"":0.9908}",6.9895,偏正
一时,一,时,1,1,1,583,"{""2"":0.0651,""3"":0.4808,""4"":0.0145,""5"":0.3745,""6"":0.0651}",3.8936,"{""2"":0.0045,""3"":0.0057,""5"":0.4027,""6"":0.5171,""7"":0.07}",5.6321,偏正
一晃,一,晃,1,1,1,10,"{""1"":0.007,""2"":0.917,""3"":0.0753,""4"":0.0003,""7"":0.0004}",2.0709,"{""2"":0.0204,""3"":0.0204,""5"":0.2489,""6"":0.6766,""7"":0.0337}",5.6418,补充
一月,一,月,1,0,0,108,"{""1"":0.0019,""2"":0.0003,""5"":0.0019,""6"":0.0292,""7"":0.9668}",6.9546,"{""1"":0.0001,""4"":0.0,""5"":0.0,""6"":0.0004,""7"":0.9995}",6.9991,偏正
一朗,一,朗,1,0,0,2,"{""1"":0.9582,""2"":0.0372,""3"":0.0039,""4"":0.0002,""7"":0.0005}",1.0488,"{""1"":0.0391,""2"":0.0391,""3"":0.1063,""5"":0.0304,""7"":0.7851}",6.0841,偏正
一朝,一,朝,0,1,1,,"{""1"":0.0069,""2"":0.6169,""3"":0.3742,""4"":0.0011,""7"":0.0011}",2.3747,"{""2"":0.0275,""3"":0.1582,""5"":0.4301,""6"":0.1232,""7"":0.2609}",5.246,偏正
一来,一,来,1,0,0,162,"{""1"":0.0043,""2"":0.8112,""3"":0.181,""4"":0.0016,""5"":0.002}",2.1859,"{""2"":0.038,""3"":0.1032,""5"":0.2804,""6"":0.2184,""7"":0.3601}",5.6184,偏正
一栋,一,栋,1,0,0,1,"{""1"":0.8384,""2"":0.0688,""3"":0.0417,""6"":0.0093,""7"":0.0417}",1.4493,"{""1"":0.0005,""2"":0.0003,""5"":0.0012,""6"":0.011,""7"":0.9871}",6.9822,偏正
一样,一,样,1,1,1,28861,"{""1"":0.0012,""2"":0.0002,""5"":0.0012,""6"":0.0052,""7"":0.9923}",6.9847,"{""1"":0.0001,""2"":0.0,""5"":0.0003,""6"":0.0067,""7"":0.9929}",6.9918,偏正
一根,一,根,1,0,0,1,"{""1"":0.0012,""2"":0.0001,""5"":0.0003,""6"":0.0019,""7"":0.9965}",6.9899,"{""1"":0.0007,""2"":0.0001,""5"":0.0007,""6"":0.0032,""7"":0.9953}",6.9906,偏正
一概,一,概,1,1,1,17,"{""1"":0.0678,""2"":0.39,""3"":0.5008,""4"":0.0194,""7"":0.022}",2.5819,"{""1"":0.0064,""2"":0.003,""5"":0.0369,""6"":0.2124,""7"":0.7413}",6.6602,偏正
一橡,一,橡,1,0,0,1,"{""1"":0.9905,""2"":0.0086,""3"":0.0004,""4"":0.0001,""7"":0.0004}",1.0122,"{""1"":0.9919,""2"":0.0041,""3"":0.0019,""4"":0.0002,""7"":0.0019}",1.02,偏正
一气,一,气,1,0,1,9,"{""1"":0.0041,""2"":0.8754,""3"":0.1185,""5"":0.0007,""7"":0.0013}",2.1231,"{""2"":0.0303,""3"":0.0236,""5"":0.6086,""6"":0.2875,""7"":0.05}",5.2493,偏正
一波,一,波,1,0,0,2,"{""2"":0.0511,""3"":0.1782,""5"":0.4844,""6"":0.1782,""7"":0.1081}",4.8848,"{""1"":0.0003,""2"":0.0004,""5"":0.0059,""6"":0.1184,""7"":0.875}",6.8661,偏正
一派,一,派,1,1,0,112,"{""1"":0.0091,""2"":0.7217,""3"":0.2655,""4"":0.0014,""7"":0.0023}",2.2707,"{""2"":0.0734,""3"":0.8947,""4"":0.0077,""5"":0.0164,""7"":0.0077}",2.998,偏正
一流,一,流,1,1,1,346,"{""1"":0.0221,""2"":0.0063,""5"":0.0134,""6"":0.0172,""7"":0.9409}",6.7915,"{""2"":0.0087,""3"":0.0068,""5"":0.1366,""6"":0.3712,""7"":0.4767}",6.2848,偏正
一点,一,点,1,0,0,20342,"{""1"":0.0065,""2"":0.005,""5"":0.1301,""6"":0.583,""7"":0.2754}",6.0927,"{""1"":0.0001,""4"":0.0001,""5"":0.0015,""6"":0.014,""7"":0.9843}",6.9823,偏正
一生,一,生,1,1,1,2437,"{""1"":0.0039,""2"":0.0049,""5"":0.0469,""6"":0.2103,""7"":0.734}",6.648,"{""1"":0.0002,""2"":0.0001,""5"":0.0012,""6"":0.0052,""7"":0.9934}",6.991,偏正
一番,一,番,1,1,0,483,"{""1"":0.0187,""2"":0.1777,""3"":0.7962,""4"":0.0042,""5"":0.0033}",2.7956,"{""2"":0.0177,""3"":0.3556,""4"":0.0177,""5"":0.5863,""6"":0.0227}",4.2407,偏正
一百,一,百,1,0,0,657,"{""1"":0.014,""2"":0.0004,""5"":0.0024,""6"":0.0051,""7"":0.9781}",6.9042,"{""1"":0.0052,""2"":0.0001,""5"":0.0003,""6"":0.0005,""7"":0.9938}",6.9669,偏正
一直,一,直,1,1,1,24551,"{""1"":0.0142,""2"":0.0142,""5"":0.0234,""6"":0.173,""7"":0.7752}",6.624,"{""1"":0.0015,""2"":0.0009,""5"":0.0031,""6"":0.0229,""7"":0.9717}",6.9578,偏正
一眼,一,眼,1,1,0,26,"{""2"":0.1538,""3"":0.2536,""5"":0.1975,""6"":0.1975,""7"":0.1975}",4.6238,"{""1"":0.0004,""2"":0.0002,""5"":0.0039,""6"":0.0372,""7"":0.9583}",6.9516,偏正
